udi,product_id,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf,rnf,noise_flags,temp_difference,temp_ratio,temp_excess,power_w,power_per_tool_wear,torque_speed_product,wear_ratio,wear_level,wear_exponential,tool_wear_min_rolling_mean_5,tool_wear_min_rolling_std_5,tool_wear_min_rolling_min_5,tool_wear_min_rolling_max_5,rotational_speed_rpm_rolling_mean_5,rotational_speed_rpm_rolling_std_5,rotational_speed_rpm_rolling_min_5,rotational_speed_rpm_rolling_max_5,torque_nm_rolling_mean_5,torque_nm_rolling_std_5,torque_nm_rolling_min_5,torque_nm_rolling_max_5,process_temperature_k_rolling_mean_5,process_temperature_k_rolling_std_5,process_temperature_k_rolling_min_5,process_temperature_k_rolling_max_5,health_index,health_grade,failure_risk_score,power_anomaly_score,speed_stability,torque_variability,temp_torque_interaction,power_wear_interaction,critical_stress_indicator,product_age,udi_rank
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,0,10.5,1.035164095662545,0.0,7165.601960455765,204.73148458445044,68422.90000000001,0.13821138155198626,0.0,0.14821823677645907,21.2,8.07465169527454,14.0,34.0,1574.6,165.53035975312804,1339.0,1782.0,37.24,10.955500901373707,23.9,51.1,308.78000000000003,0.21679483388688497,308.6,309.1,0.24655346061917294,Good,0,0.9995111986345238,-0.05382632330475823,0.9243164822944182,8.080572167461263,990.3677466062124,0.1963333377627834,0,10
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,0,10.599999999999966,1.0354989918436068,0.0,5472.939008042896,144.02471073797093,52260.0,0.1504065034536321,0.0,0.16230662836719212,25.8,9.391485505499116,16.0,37.0,1611.4,180.67733670828775,1339.0,1782.0,34.760000000000005,10.898761397516699,23.9,51.1,308.9,0.2549509756797758,308.6,309.2,0.22878519020062218,Good,0,1.0062329722839283,-0.16340504504699682,0.9554792216675015,4.789156554380157,823.1656198147216,0.13914858154903492,0,11
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,0,10.599999999999966,1.0354989918436068,0.0,7815.934986595174,181.76592992081802,74632.8,0.17073170662304185,0.0,0.1861724641107032,31.0,9.797958971132712,18.0,42.0,1614.4,179.04273232946372,1339.0,1782.0,36.4,12.431210721406025,23.9,51.1,309.02,0.21679483388700693,308.7,309.2,0.26875375681632296,Good,0,1.0183441815981187,-0.15825443448625798,0.9412512078540249,7.72650590773332,1334.4279191161359,0.2334348800546672,0,12
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,0,10.599999999999966,1.0354989918436068,0.0,6397.934819034853,142.1763293118856,61092.6,0.17886178789080573,0.0,0.19585545104121094,36.2,7.88669766125214,24.0,44.0,1543.2,219.18188793784947,1311.0,1782.0,40.0,12.212084179205451,23.9,51.1,309.12,0.13038404810447585,308.9,309.2,0.2319337907620239,Good,0,1.0186578552683456,-0.2698075528889232,0.9810721774193392,7.43915651447051,1144.3460605414123,0.16490510662239563,0,13
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,0,10.5,1.0351523232837216,0.0,6733.4115281501345,140.27940683646113,64296.0,0.1910569097924516,0.0,0.21052834103769813,40.8,5.263078946776304,34.0,47.0,1468.8,176.92003843544688,1311.0,1742.0,44.339999999999996,8.284201832403651,30.0,51.1,309.18,0.04472135955126996,309.1,309.2,0.2405181808696557,Good,0,1.0272362447744388,-0.2685163512236002,1.0049033380505616,7.210843264896939,1286.464798929234,0.1799754780598312,0,14
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,0,10.399999999999977,1.034805886764371,0.0,7454.025636729222,146.1573654260632,71177.0,0.20325203169409745,0.0,0.22538126424861882,44.0,4.949747468305831,37.0,50.0,1462.2,183.4671632745217,1306.0,1742.0,45.019999999999996,9.079207013831109,30.0,54.5,309.2,3.4293353532354263e-07,309.2,309.2,0.27841404037650036,Good,0,1.0944728768613896,-0.36554862285317324,1.1248421095492254,8.536144449756842,1515.0458549651028,0.23062813241204128,0,15
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,0,10.400000000000034,1.0347942421050713,0.0,5554.624664879357,99.18972615855994,53040.0,0.22357723486350717,0.0,0.25054222200450504,47.6,5.128352561983232,42.0,55.0,1440.2,143.84436033435586,1306.0,1632.0,45.519999999999996,8.056488068631392,32.5,54.5,309.22,0.04472135955133987,309.2,309.3,0.2527603176190315,Good,0,1.1055159039339928,-0.3919997757629985,1.1611578116289354,5.090361369121081,1241.8876232783618,0.15602488741915527,0,16
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,0,10.400000000000034,1.0347942421050713,0.0,6148.678367962467,104.21488759258419,58712.50000000001,0.235772356765153,0.0,0.26588610695603343,50.8,5.718391382198317,44.0,58.0,1406.8,133.29928731992533,1306.0,1632.0,44.38,7.9496540805245095,32.5,54.5,309.24,0.05477225575163247,309.2,309.3,0.2512156711471845,Good,0,1.1039526942456415,-0.44075403146679193,1.1645116057689129,6.687951706506773,1449.6883898054255,0.17165591415085135,0,17
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,0,10.5,1.0351405587846703,0.0,6802.949061662198,106.29607908847184,64959.99999999999,0.2560975599345628,0.0,0.2918787573989261,54.6,6.34822809924155,47.0,63.0,1434.6,122.37156532462927,1306.0,1632.0,44.019999999999996,7.864286363046554,32.5,54.5,309.26,0.05477225575165582,309.2,309.3,0.2599435367352392,Good,0,1.025364750626932,-0.3796363484345746,1.078959014909143,7.084337242705764,1742.2186550508125,0.19651988886003968,0,18
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,0,10.400000000000034,1.0347942421050713,0.0,5083.01566689008,77.01538889227393,48536.7,0.26422764120232667,0.0,0.3024246480701218,58.2,6.058052492344381,50.0,65.0,1468.8,136.8199546849801,1306.0,1632.0,41.040000000000006,9.719979423846533,30.7,54.5,309.28000000000003,0.04472135955142567,309.2,309.3,0.28698284959881887,Good,0,0.9052530989740003,-0.16303511890540712,0.9458893932417465,4.808433662523605,1343.0732398568373,0.16210919869610393,0,19
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,0,10.399999999999977,1.0347826052348408,0.0,4731.547419571046,68.57315100827603,45180.6,0.2764227631039725,0.0,0.3184051192660404,61.8,5.263078946776304,55.0,68.0,1559.2,150.95595384084726,1375.0,1758.0,35.28,8.15732799389604,25.7,44.8,309.32000000000005,0.04472135955149558,309.3,309.4,0.2919691145872061,Good,0,1.0167726623623472,-0.29826298014883523,1.0472188687320574,4.025301144197263,1307.9074114752996,0.15352191426129272,0,20
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,0,10.399999999999977,1.0347826052348408,0.0,6097.65625,85.88248239436619,58225.299999999996,0.2845528443717364,0.0,0.3291675504682676,64.8,4.658325879540844,58.0,70.0,1545.0,145.64168359367457,1375.0,1758.0,36.239999999999995,8.02981942511785,25.7,44.8,309.34,0.05477225575176544,309.3,309.4,0.25479307576031646,Good,0,0.9841810308189526,-0.14837231483791036,0.9822033525743424,5.8421685867143145,1735.1054299385958,0.17265566255687712,0,21
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,0,10.5,1.0351170533942573,0.0,4541.020861260054,61.36514677378451,43361.3,0.29674796627338224,0.0,0.34547615134301424,67.8,3.9623225512317886,63.0,73.0,1642.2,164.74434739923555,1450.0,1861.0,32.36,8.779977220927167,23.3,44.8,309.38,0.08366600265426824,309.3,309.5,0.2995416482883994,Good,0,0.9614373450386836,-0.46662542060140555,1.1019040304377288,3.6844878963179535,1347.5387053839236,0.15116142573422076,0,22
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,0,10.399999999999977,1.0347709761458677,0.0,6175.435656836461,81.25573232679554,58968.0,0.30487804754114617,0.0,0.35645956933909106,70.2,3.9623225512317886,65.0,75.0,1654.6,148.15971112282853,1512.0,1861.0,31.2,6.909413868049878,23.3,39.0,309.41999999999996,0.08366600265430561,309.3,309.5,0.26128664815262403,Good,0,0.9524857660168043,-0.3478036930013042,1.0573296781023247,6.108433642945263,1882.7547657722757,0.1793143663792518,0,23
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,0,10.299999999999955,1.034436639804625,0.0,4665.570542895443,59.81500696019799,44550.600000000006,0.31300812880891005,0.0,0.3675326473939926,72.6,3.6469165057620927,68.0,77.0,1700.6,155.13639160429125,1512.0,1861.0,29.98,7.530405035587393,23.3,39.0,309.43999999999994,0.0547722557519198,309.4,309.5,0.30055631817820877,Good,0,0.9834735651786165,-0.4370698294213373,1.0948375276731526,3.8159637979523353,1460.3615054576733,0.15583352313453286,0,24
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,0,10.299999999999955,1.034436639804625,0.0,6660.9207439678285,80.25205715623889,63603.8,0.33333333197831977,0.0,0.39561242319501577,75.4,4.505552130427523,70.0,82.0,1636.8,187.78764602603653,1439.0,1861.0,33.68,9.250243240045094,23.3,44.2,309.43999999999994,0.0547722557519198,309.4,309.5,0.2758303157918015,Good,0,0.8504287802706584,-0.29290895020230634,0.899658440129478,6.856325197946879,2220.3069056303048,0.20417686441584484,0,25
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,0,10.399999999999977,1.0347826052348408,0.0,5336.722939008043,62.7849757530358,50959.3,0.3414634132460837,0.0,0.4070051146144573,78.2,4.658325879540843,73.0,84.0,1663.2,183.70138812758057,1439.0,1861.0,32.24,9.105108456245866,23.3,44.2,309.43999999999994,0.0547722557519198,309.4,309.5,0.2923693777044495,Good,0,0.8558584944351252,-0.31236287270550167,0.910341120227797,4.7144577603244215,1822.2956303023577,0.17339509465549355,0,26
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,0,10.399999999999977,1.0347709761458677,0.0,6758.943532171582,77.68900611691474,64539.8,0.3495934945138476,0.0,0.41849080708176944,80.8,4.658325879540843,75.0,86.0,1558.8,191.3562123370966,1339.0,1811.0,37.220000000000006,9.777627524098062,24.6,48.2,309.43999999999994,0.0547722557519198,309.4,309.5,0.29281037671231097,Good,0,0.9175216874358766,-0.357091548467136,0.9935125075075532,7.549397476665685,2362.8826886336315,0.21993560824042896,0,27
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,0,10.399999999999977,1.0347826052348408,0.0,4801.5457439678285,53.350508266309205,45849.0,0.3617886164154934,0.0,0.43589538516452797,83.6,4.505552130427523,77.0,89.0,1616.0,215.13716554793595,1339.0,1811.0,34.52,10.956139831163162,24.6,48.2,309.41999999999996,0.044721359551691785,309.4,309.5,0.3120336493916587,Good,0,0.8628251127812331,-0.3676256173235213,0.9590300101093392,3.9939758434642103,1737.1445913658217,0.16649943661152727,0,28
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,0,10.399999999999977,1.0347826052348408,0.0,7177.624413538873,78.0176566689008,68537.7,0.3699186976832573,0.0,0.4476169152698053,86.4,3.646916505762093,82.0,91.0,1537.6,196.96903309911434,1339.0,1798.0,39.260000000000005,10.715549449281637,25.5,48.3,309.41999999999996,0.044721359551691785,309.4,309.5,0.3096719162691927,Good,0,0.9991565153203944,-0.46595319296574633,1.0893329633484017,7.5650601270322095,2655.1374755158536,0.2470090229559225,0,29
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,0,10.400000000000034,1.0347942421050713,0.0,5666.94244302949,60.28662173435628,54112.5,0.37804877895102124,0.0,0.45943413080553164,88.6,3.646916505762093,84.0,93.0,1582.8,194.60267212964987,1339.0,1798.0,36.92,10.644341219634025,25.5,48.3,309.4,0.0707106781197114,309.3,309.5,0.2923923297776204,Good,0,0.9405105430372938,-0.4237215450145744,1.0400637098681307,5.090361369121081,2142.380670973016,0.1841386880748222,0,30
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,0,10.300000000000011,1.0344712147440722,0.0,5665.350619973191,59.014068958054075,54097.3,0.3861788602187851,0.0,0.47134781287293803,90.8,3.492849839314597,86.0,95.0,1556.0,184.60227517557848,1339.0,1798.0,37.839999999999996,10.09197701146807,25.5,48.3,309.34000000000003,0.15165750888150287,309.1,309.5,0.3010822197925139,Good,0,0.9345702379803901,-0.4241934644478258,1.037328699831877,5.382680641827105,2187.8386451610345,0.18955802246594192,0,31
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,0,10.399999999999977,1.034805886764371,0.0,7390.164209115282,74.64812332439678,70567.2,0.39837398212043096,0.0,0.489400935084372,93.2,3.492849839314597,89.0,98.0,1578.6,156.11310002687154,1419.0,1798.0,37.92,10.19568536195581,25.5,48.6,309.28000000000003,0.13038404810458593,309.1,309.4,0.32420687175834795,Good,0,0.9609087834716958,-0.28680837611402676,1.0258673862916332,7.61204807813179,2944.04914450914,0.26626039467936724,0,32
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,0,10.300000000000011,1.0344596820526608,0.0,6076.438924262735,59.57293063002681,58022.700000000004,0.4105691040220768,1.0,0.5076755652348055,95.6,3.9749213828703596,91.0,101.0,1535.2,99.92096877032363,1419.0,1665.0,40.160000000000004,7.712846426579492,32.5,48.6,309.23999999999995,0.11401754251052712,309.1,309.4,0.2907744270176995,Good,0,0.9597416098596163,-0.277476290241796,1.024700907846443,5.692921601010223,2494.7980847794233,0.19635212821583378,0,33
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,0,10.300000000000011,1.0344712147440722,0.0,5907.422922252011,56.26117068811439,56408.8,0.42276422592372265,1.0,0.5261744211791595,98.2,4.4384682042344314,93.0,104.0,1539.2,94.35147057677473,1439.0,1665.0,38.34,6.246038744676503,32.5,48.6,309.18,0.08366600265427801,309.1,309.3,0.31100946602882606,Good,0,0.8363644880830975,-0.13574587877146316,0.9015761794548581,6.080722799989122,2497.447078929927,0.2041747058745187,0,34
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,0,10.300000000000011,1.0344596820526608,0.0,7321.893850536193,68.42891449099245,69915.3,0.4308943071914866,1.0,0.5386329189280787,100.8,4.4384682042344314,95.0,106.0,1482.0,85.27602242131131,1379.0,1581.0,41.980000000000004,7.219210483148418,34.7,50.7,309.16,0.05477225575186598,309.1,309.2,0.3351651674458185,Good,0,0.905647919342295,-0.18002622500007526,0.9773994437477763,7.8646083152920525,3154.962378056399,0.27271722752365596,0,35
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,0,10.300000000000011,1.0344712147440722,0.0,7422.398626005362,66.2714163036193,70875.0,0.4512195103608963,1.0,0.5702259251249733,104.0,4.9497474683058345,98.0,111.0,1440.2,89.22835872075643,1350.0,1581.0,45.54,7.119901684714472,36.7,52.5,309.15999999999997,0.05477225575186598,309.1,309.2,0.3472293751198964,Good,0,0.9222746689568957,-0.16767986567476423,0.9991806776895055,8.143825178556858,3349.131073729529,0.28641186201914526,0,36
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,0,10.300000000000011,1.0344712147440722,0.0,6475.661863270777,56.8040514321998,61834.799999999996,0.4593495916286602,1.0,0.5830440249974307,107.0,4.9497474683058345,101.0,113.0,1422.2,95.13516699938037,1350.0,1581.0,44.9,6.917008023705046,36.7,52.5,309.14,0.054772255751901,309.1,309.2,0.3117917212376196,Good,0,0.9149226592402548,-0.1477009979042354,0.9796219372349724,7.042469773456788,2974.59263241872,0.22437734768523127,0,37
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,0,10.300000000000011,1.0344712147440722,0.0,7277.815013404826,62.73978459831746,69494.4,0.4674796728964241,1.0,0.5959667618407285,109.8,4.658325879540849,104.0,115.0,1379.6,34.818098741889905,1350.0,1439.0,47.720000000000006,5.4586628399270065,39.2,52.5,309.12,0.0447213595517474,309.1,309.2,0.3451884252430204,Good,0,0.7572697043025174,0.15621241348093196,0.8113223490020437,7.880120363251208,3402.2305818671725,0.27918205802292884,0,38
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,0,10.300000000000011,1.0344712147440722,0.0,7034.266085790885,59.612424455854956,67168.8,0.475609754164188,1.0,0.6089949898294928,112.4,4.2190046219458,106.0,117.0,1365.4,10.573551910308726,1350.0,1379.0,49.7,2.687936011143122,45.4,52.5,309.12,0.0447213595517474,309.1,309.2,0.3381002706928484,Good,0,0.7471190226782305,0.13150553156182343,0.817426200627657,7.616415547945557,3345.565563788488,0.2642984267884685,0,39
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,0,10.399999999999977,1.034805886764371,0.0,6968.624329758713,57.591936609576145,66542.0,0.48780487606583384,1.0,0.6287370133910457,115.2,3.4928498393145966,111.0,120.0,1364.0,8.602325267042263,1350.0,1372.0,49.260000000000005,2.6632686683847715,45.4,52.5,309.12,0.0447213595517474,309.1,309.2,0.34016032267715407,Good,0,0.6706985598252586,0.3412259673383785,0.6972826114538587,7.596385427765263,3399.3289275273037,0.26342741783027934,0,40
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,0,10.300000000000011,1.0344712147440722,0.0,7322.386058981233,58.114175071279625,69920.0,0.5081300792352436,1.0,0.6621801419788724,118.0,4.69041575982343,113.0,125.0,1388.4,46.870033070182394,1362.0,1472.0,48.260000000000005,1.998249233704341,45.4,50.8,309.12,0.0447213595517474,309.1,309.2,0.35182883754405614,Good,0,0.5677750254948217,0.43426504635757623,0.5588457752157062,7.368222780599063,3720.724608341177,0.2862953689863742,0,41
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,0,10.300000000000011,1.0344712147440722,0.0,7656.448977882039,59.3523176580003,73109.90000000001,0.5203252011368894,1.0,0.6825747359545626,121.0,5.431390245600108,115.0,128.0,1413.8,61.20620883537872,1368.0,1489.0,49.0,1.1999999999999957,47.5,50.8,309.12,0.0447213595517474,309.1,309.2,0.367362308785347,Good,0,0.598014886365741,0.4107241110949946,0.5611084726340012,7.616415547945557,3983.8433544108034,0.31257357199627867,0,42
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,0,10.300000000000011,1.0344827551574063,0.0,4979.620475871314,38.01237004481919,47549.4,0.5284552824046533,1.0,0.696309963900581,124.0,5.431390245600108,117.0,130.0,1508.8,194.91972706732378,1368.0,1843.0,44.0,10.19509686074634,25.8,49.1,309.1,0.07071067811979281,309.0,309.2,0.3506598037061986,Good,0,0.8324828284502086,-0.15859146043707217,0.8658878683157292,4.002108373462227,2631.5067448445693,0.1940494859498948,0,43
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,0,10.300000000000011,1.0344712147440722,0.0,6875.5655160857905,51.310190418550675,65653.4,0.5406504043062992,1.0,0.7171233234739198,127.2,4.969909455915671,120.0,133.0,1518.8,187.0125664226872,1372.0,1843.0,43.44,9.918064327276761,25.8,49.1,309.1,0.07071067811979281,309.0,309.2,0.34789562408116403,Good,0,0.7654127690193773,-0.16038523985261777,0.8276410786193382,7.182078205089191,3717.277276106231,0.2658200026773445,0,44
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,0,10.399999999999977,1.034805886764371,0.0,8043.680881367292,59.144712362994795,76807.5,0.5487804855740631,1.0,0.7311405791448595,130.2,3.962322551231791,125.0,135.0,1529.4,177.89125891959955,1418.0,1843.0,44.519999999999996,10.85642666810769,25.8,53.9,309.1,0.07071067811979281,309.0,309.2,0.39678791063413754,Good,0,0.837446376168117,-0.1489658677956205,0.8555218661274899,8.442168547557685,4414.2150998795505,0.3546855790881273,0,45
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,0,10.300000000000011,1.0344596820526608,0.0,6521.154490616623,46.24932262848669,62269.200000000004,0.5691056887434728,1.0,0.7666863772178147,133.2,4.658325879540851,128.0,140.0,1517.4,184.62746274593064,1412.0,1843.0,43.839999999999996,10.728839639028996,25.8,53.9,309.12,0.08366600265434765,309.0,309.2,0.3429893650123325,Good,0,0.8360945993344082,-0.1235868587144644,0.8315320209366983,6.840813149987762,3711.2261177849637,0.2485623867361453,0,46
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,0,10.199999999999989,1.0341365427237732,0.0,6866.684819034852,46.396519047532784,65568.59999999999,0.5975609731806465,1.0,0.8176800191220586,137.0,6.670832032063172,130.0,147.0,1519.0,184.3542784965947,1412.0,1843.0,42.779999999999994,10.3337795602577,25.8,53.9,309.1,0.10000000000079513,309.0,309.2,0.3578275388209935,Good,0,0.8221377160948399,-0.09882374303169184,0.8349950346042598,6.7283131516820225,4103.262862987238,0.2730556342515571,0,47
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,0,10.300000000000011,1.0344827551574063,0.0,5752.712382707775,37.59942733795931,54931.5,0.6178861763500562,1.0,0.8550027459412024,141.4,8.018728078691785,133.0,152.0,1463.4,66.3874988231971,1412.0,1565.0,44.64,6.717737714439278,35.1,53.9,309.1,0.10000000000079513,309.0,309.2,0.36675593309430327,Good,0,0.8944893316507909,-0.08694212178225658,0.8867328906240741,5.444728833663729,3554.521457792928,0.23446610918814734,0,48
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,0,10.300000000000011,1.0344827551574063,0.0,5330.418481903486,34.38979665744185,50899.100000000006,0.6260162576178201,1.0,0.8701455416884223,145.6,8.018728078691785,135.0,154.0,1518.0,114.52510641776324,1412.0,1691.0,41.4,9.1744209626548,30.1,53.9,309.08,0.10954451150176582,309.0,309.2,0.3768722004740101,Good,0,1.002195354495905,-0.14037342682166276,0.987363268834496,4.669126435705932,3336.9286295780826,0.22324702320106293,0,49
